ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Part_Of_Speech,Text_ID,Sentence_Number,Phrase_Number,Language_ID,Clitic_ID,begin-time-offset,cf_kit,end-time-offset,gls_en_phrase,gls_en_word,gls_kit_phrase,guid,hn_kit,lit_en_phrase,media-file,msa_en,pos_en_word,segnum_en_phrase,txt_en_phrase,txt_kit_phrase,variantTypes_en
we-sn011-kurupel2007-1-1,"Ttongo ebdo me, angde toto gognän, ngäna iddob kanyekanye we gotäba Minkom me.",ttongo	ebdo=me	angde	toto	g-o-g-n-än	ngäna	iddob	kanye~kanye=we	g-o-täba	Minkom=me,one	day=LOC	when	evening	REM-RT_EXT-AUX-IPFV-REM.3SGS	1SG.NOM	night	INF~move_around=ALL	REM-RT_EXT-plan	toponym=LOC,"One day, when evening was coming, I planned to go night hunting to Minkom point.",indefinite article	n.	n. cl.	conj.	n.	aux.	pron.	n.	n.	n. cl.	vi.	pn.	n. cl.,we-sn011-kurupel2007,1,1,kit,		me-loc							we-all			me-loc,,ttongo	ebdo=me	angde	toto	g-o-g-ne-än	ngäna	iddob	RED~kanye=e	g-o-täbatäbe	Minkom=me,,"One day, when evening was coming, I planned to go night hunting to Minkom point.",one	day		when	evening	aux.rem.npfv.3sgS	1.sg.nom	night	hunting		plan.rem.1|2sgS	toponym	,,c7d4c1a7-d36c-430a-b48a-810a3de32056,1				1		1		3	1			,,,num.	n.	n. cl.	adv.	n.	v.:TM + Patient-vi.:Any-aux.-v.:(Aspect)-v.:TAM+Agent	pers. pron.	n.	v.:Anycovi.	n. cl.	v.:TM + Patient-vi.:Any-vi.  (I)	pn.	n. cl.,indefinite article	n.	n. cl.	conj.	n.	aux.	pron.	n.	n.	n. cl.	vi.	pn.	n. cl.,1.1,,"Ttongo ebdo me, angde toto gognän, ngäna iddob kanyekanye we gotäba Minkom me. ",								+***				
we-sn011-kurupel2007-1-2,Ngäna ngämo bägäl a wa toboll a ada tos a mermer danserbeneg.,ngäna	ngämo	bägäl=a	wa	toboll=a	ada	tos=a	mer~mer	d-a-nserbe-neg,1SG.NOM	1SG.POSS	bow=ACC.CONJ	and	spear=ACC.CONJ	like_this	torch=ACC.CONJ	ADV~good	REM-RT_EXT-prepare-SG>PL,"I properly prepared my bow, arrows, and torch.",pron.	pron.	n.	n. cl.	conj.	n.	n. cl.	adv.	n.	n. cl.	adv.	vt.,we-sn011-kurupel2007,1,2,kit,			a-acc-conj			a-acc-conj			a-acc-conj		,,ngäna	ngämo	bägäl=da	a	tobäll=da	ada	tos=da	mermer	d-a-särämbae-neg,,"I properly prepared my bow, arrows, and torch.",1.sg.nom	1.sg.poss	bow		and	arrow		like this	torch		properly	prepare.rem.1|2sgA>3plP,,2a9a3d17-bb29-4408-816d-011cccd29efb,1			1			1			1	11	1,,,pers. pron.	pers. pron.	n.	n. cl.	coord.	n.	n. cl.	m. dem	n.	n. cl.	???>adv.mod.	v.:TM + Patient-v.:Patient-vt.  (V)-v.:Plurpersonal,pron.	pron.	n.	n. cl.	conj.	n.	n. cl.	adv.	n.	n. cl.	adv.	vt.,1.2,,Ngäna ngämo bägäl a wa toboll a ada tos a mermer danserbeneg. ,					+dial. var. of						
we-sn011-kurupel2007-1-3,"Ngäna kälakälae gontämon do yäbäd a angde goklawän dam ngäna ibi de gongkam, Eramang e nyongo de dongkollmäll do Togllaema minkom e gog.",ngäna	käla~kälae	g-o-ntämon	do	yäbäd=a	angde	g-o-kla-wän	dam	ngäna	ibi=de	g-o-ngk-am	Eramang=e	nyongo=de	d-o-ngkollmäll	do	Togllaema Minkom=e	g-o-g,1SG.NOM	ADV~small	REM-RT_EXT-wait	to	sun=NOM	when	REM-RT_EXT-set-REM.3SGS	then	1SG.NOM	go=ACC	REM-RT_EXT-start-IV.NPL	toponym=ALL	road=ACC	REM-3NDUP-follow	there	toponym	=ALL	REM-RT_EXT-AUX,"I waited a little until the sun set, then I started walking, I followed the road to Eramang and arrived? at Togllaema.",pron.	adv.	vi.	prep.	n.	n. cl.	conj.	vi.	adv.	pron.	v.	n. cl.	vi.	pn.	n. cl.	n.	n. cl.	vt.	dem.	pn.	n.	n. cl.	aux.,we-sn011-kurupel2007,1,3,kit,					a-nom						de-acc			e-all		de-acc					e-all	,,ngäna	RED~kälae	g-o-tomon	do	yäbäd=da	angde	g-o-kälakäle-än	dam	ngäna	ibi=de	g-o-kam-am	Eramang=e	nyongo=de	d-ä-kollmäll	do	Togllaema	=e	g-o-g,,"I waited a little until the sun set, then I started walking, I followed the road to Eramang and arrived? at Togllaema.",1.sg.nom	a little	wait.rem.1|2sgS	until	sun		when	set.rem.3sgS	then	1.sg.nom	go		start.rem.1|2sgS	toponym		road		follow.rem.1|2sgA>3sgP	there	toponym	point		aux.rem.1|2sgS,,1b303999-0a67-412b-9630-f602ca275350,1	2		1		1				1	2		12		1			1	1			1	,,,pers. pron.	???>adv.mod.	v.:TM + Patient-vi.:Any-vt.  (II)	prep.	n.	n. cl.	adv.	v.:TM + Patient-vi.:Any-vi.  (I)-v.:TAM+Agent	adv.	pers. pron.	vi.	n. cl.	v.:TM + Patient-vi.:Any-vt.  (IV)-v.:Any	pn.	n. cl.	n.	n. cl.	v.:TM + Patient-v.:Patient-vt.	adv. dem.	pn.		n. cl.	v.:TM + Patient-vi.:Any-aux.,pron.	adv.	vi.	prep.	n.	n. cl.	conj.	vi.	adv.	pron.	v.	n. cl.	vi.	pn.	n. cl.	n.	n. cl.	vt.	dem.	pn.	n.	n. cl.	aux.,1.3,,"Ngäna kälakälae gontämon do yäbäd a angde goklawän dam ngäna ibi de gongkam, Eramang e nyongo de dongkollmäll do Togllaema minkom e gog.",	+der. var. of																					
we-sn011-kurupel2007-2-1,"Dibaballe gongkäz Tawabo we, mer enddäna ngättäma me godmen, käsre tos de dägazen nyäng ik att de a batri käp de dazer, angde daerängg mermer gogllaeyän.",dibaballe	g-o-ngkäz	Tawabo=we	mer	enddäna	ngättäma=me	g-o-dmen	käsre	tos=de	d-ä-gazen	nyäng	ik=att=de	a	batri	käp=de	d-a-zer	angde	d-a-erängg	mer~mer	g-o-gllae-yän,afterwards	REM-RT_EXT-go_aside	toponym=ALL	good	clearing	place=LOC	REM-RT_EXT-sit	then	torch=ACC	REM-3NDUP-take_out	basket	inside=ABL=ACC	and	battery	round_thing=ACC	REM-RT_EXT-put_in	when	REM-RT_EXT-test	ADV~good	REM-RT_EXT-shine-REM.3SGS,"Afterwards, I came out through the side of the swamp, sat down in a good, clear place, then took out the torch from inside my bag, put in the batteries, and when I tested it, it shone properly.",adv.	vi.	pn.	n. cl.	adj.	n.	n.	n. cl.	vi.	adv.	n.	n. cl.	vt.	n.	n.	n. cl.	n. cl.	conj.	n.	shp. mod.	n. cl.	vt.	conj.	vt.	adv.	vi.,we-sn011-kurupel2007,2,1,kit,			we-all				me-loc				de-acc				att-abl	de-acc				de-acc					,,dibaballe	g-o-känz	Tawabo=e	mer	enddäna	ngättäma=me	g-o-dämen	käsre	tos=de	d-ä-gazen	nyäng	ik=att=de	a	batri	käp=de	d-a-zan	angde	d-a-erängg	mermer	g-o-gllae-än,,"Afterwards, I came out through the side of the swamp, sat down in a good, clear place, then took out the torch from inside my bag, put in the batteries, and when I tested it, it shone properly.",afterwards	go.aside.rem.1|2sgS	toponym		good	clearing	place		sit.rem.1|2sgS	then	torch		take.out.rem.1|2sgA>3sgP	bag	inside			and	battery	round.thing		put.in.pl.rem.1|2sgA>3plP	when	test.rem.1|2sgA>3sgP	properly	shine.rem.3sgS,,372eaa30-e3a6-4c15-8c10-3e3f5e5b3b5f,			1	1								1	1						1		1		1	11	2,,,adv. dem.	v.:TM + Patient-vi.:Any-vi.  (irr)	pn.	n. cl.	mod.	n.	n.	n. cl.	v.:TM + Patient-vi.:Any-vi.  (II)	adv.	n.	n. cl.	v.:TM + Patient-v.:Patient-vt.  (II)	n.	loc.	n. cl.	n. cl.	coord.	n.	property n.	n. cl.	v.:TM + Patient-v.:Patient-vt.  (irr)	adv.	v.:TM + Patient-v.:Patient-vt.  (III)	???>adv.mod.	v.:TM + Patient-vi.:Any-vi.  (I)-v.:TAM+Agent,adv.	vi.	pn.	n. cl.	adj.	n.	n.	n. cl.	vi.	adv.	n.	n. cl.	vt.	n.	n.	n. cl.	n. cl.	conj.	n.	shp. mod.	n. cl.	vt.	conj.	vt.	adv.	vi.,2.1,,"Dibaballe gongkäz Tawabo we, mer enddäna ngättäma me godmen, käsre tos de dägazen nyäng ik att de a batri käp de dazer, angde daerängg mermer gogllaeyän. ",
we-sn011-kurupel2007-2-2,"Ako dibaballe, ibi de gongkam do Dubolläplläp, ede gänya ngata me ddäddäg de ddone dangerängg.",ako	dibaballe	ibi=de	g-o-ngk-am	do	Dubolläplläp	ede	gänya	ngata=me	ddäddäg=de	ddone	d-a-ngerängg,then	afterwards	go=ACC	REM-RT_EXT-start-IV.NPL	to	toponym	so	this	spot=LOC	edible animal=ACC	NEG	REM-RT_EXT-encounter,"Then afterwards, I started to walk towards Dubolläplläp, in that spot, I didn't see any animals.",adv.	adv.	v.	n. cl.	vi.	prep.	pn.	conj.	det.	n.	n. cl.	n.	n. cl.	neg. ptcl.	v.,we-sn011-kurupel2007,2,2,kit,			de-acc							me-loc		de-acc		,,ako	dibaballe	ibi=de	g-o-kam-am	do	Dubolläplläp	ede	gänya	ngata=me	ddäddäg=de	ddone	d-a-ngarängg,,"Then afterwards, I started to walk towards Dubolläplläp, in that spot, I didn't see any animals.",then	afterwards	go		start.rem.1|2sgS	to	toponym	so	this	spot		animal		not	meet_someone.rem.1sgA>3sgP,,1d5874f1-8e95-486f-afa3-5a83f7168b59,		2		12	1						1			1,,,disc. ptcl.	adv. dem.	vi.	n. cl.	v.:TM + Patient-vi.:Any-vt.  (IV)-v.:Any	prep.	pn.	subr.	dem.	n.	n. cl.	n.	n. cl.	neg. ptcl.	v.:TM + Patient-v.:Patient-vt.  (III),adv.	adv.	v.	n. cl.	vi.	prep.	pn.	conj.	det.	n.	n. cl.	n.	n. cl.	neg. ptcl.	v.,2.2,,"Ako dibaballe, ibi de gongkam do Dubolläplläp, ede gänya ngata me ddäddäg de ddone dangerängg.",
we-sn011-kurupel2007-3-1,"Be angde Dubolläplläp alle ibi de gongkam do Ur, tawa we gog, dädme kullkull att me ttongo ddia de tos indrang alle dälläd.",be	angde	Dubolläplläp=alle	ibi=de	g-o-ngk-am	do	Ur	tawa=we	g-o-g	däd=me	kullkull=att=me	ttongo	ddia=de	tos	indrang=alle	d-ä-lläd,but	when	toponym=ABL	go=ACC	REM-RT_EXT-start-IV.NPL	to	toponym	swamp=ALL	REM-RT_EXT-AUX	there=LOC	grassfire=ABL=LOC	a	deer=ACC	torch	bright=INS	REM-3NDUP-grab,"But when I started to walk from Duboläpläp to Ur, I got to the swamp, and there from out of the burned grass, I caught one deer with my torch light.",conj.	conj.	pn.	<Not Sure>	v.	n. cl.	vi.	prep.	pn.	n.	n. cl.	aux.	adv. dem.	n. cl.	n.	n. cl.	n. cl.	indefinite article	n.	n. cl.	n.	adj.	n. cl.	vt.,we-sn011-kurupel2007,3,1,kit,			alle-abl		de-acc					we-all					att-abl	me-loc			de-acc			alle-ins	,,be	angde	Dubolläplläp=alle	ibi=de	g-o-kam-am	do	Ur	tawa=e	g-o-g	däd=me	kullkull=att=me	ttongo	ddia=de	tos	indrang=alle	d-ä-llädäd,,"But when I started to walk from Duboläpläp to Ur, I got to the swamp, and there from out of the burned grass, I caught one deer with my torch light.",but	when	toponym		go		start.rem.1|2sgS	to	toponym	swamp		aux.rem.1|2sgS	there=loc		burned grass			a	deer		torch	bright		catch.rem.1|2sgA>3sgP,,aaed8419-3dfb-49d7-bedd-55d8589cca90,			2	2		12	1			1							1					1	1,,,coord.	adv.	pn.		vi.	n. cl.	v.:TM + Patient-vi.:Any-vt.  (IV)-v.:Any	prep.	pn.	n.	n. cl.	v.:TM + Patient-vi.:Any-aux.	dem.	n. cl.	n.	n. cl.	n. cl.	indefinite article	n.	n. cl.	n.	mod.	n. cl.	v.:TM + Patient-v.:Patient-vt.  (I),conj.	conj.	pn.	<Not Sure>	v.	n. cl.	vi.	prep.	pn.	n.	n. cl.	aux.	adv. dem.	n. cl.	n.	n. cl.	n. cl.	indefinite article	n.	n. cl.	n.	adj.	n. cl.	vt.,3.1,,"Be angde Dubolläplläp alle ibi de gongkam do Ur, tawa we gog, dädme kullkull att me ttongo ddia de tos indrang alle dälläd. ",
we-sn011-kurupel2007-3-2,"Dibaya kälepalle danyroene, angde dowae mäse däga, ddia da dam dindugän a dägabällän.",diba=aya	kälepalle	d-a-nyäroe-ne	angde	dowae	mäse	d-ä-ga	ddia=da	dam	d-indug-än	a	d-ä-gabäll-än,that=COP.PST.SG	slowly	REM-RT_EXT-creep-IPFV	when	proximity	IMN	REM-3NDUP-AUX	deer=NOM	then	REM-run-REM.3SGS	and	REM-3NDUP-stand-REM.3SGS,"I crept slowly towards it, and when I got close, the deer ran away and stood.",cop.	v. cl.	adj.	vi.	conj.	loc.	TAM ptcl.	aux.	n.	n. cl.	adv.	vi.	conj.	vi.,we-sn011-kurupel2007,3,2,kit,									da-nom				,,diba=aeya	kälepalle	d-a-nyäroe-ne	angde	dowae	mäse	d-ä-g	ddia=da	dam	d-dindu-än	a	d-ä-gägabäll-än,,"I crept slowly towards it, and when I got close, the deer ran away and stood.",cop.that.pst.sgS		slow	creep.rem.npfv.1sgS	when	proximity	almost	aux.rem.1|2sgA>3sgP	deer		then	run.rem.3sgS	and	stand.rem.3sgS,,327f8a2d-3be6-4d76-8dea-c024b4062db9,			1				1		1				1,,,nom. dem.	v. cl.	adv.	v.:TM + Patient-v.:Patient-vi.  (V)-v.:(Aspect)	adv.	loc.	TAM ptcl.	v.:TM + Patient-v.:Patient-aux.	n.	n. cl.	adv.	v.:TM + Patient-vi.  (irr)-v.:TAM+Agent	coord.	v.:TM + Patient-v.:Patient-vi.  (irr)-v.:TAM+Agent,cop.	v. cl.	adj.	vi.	conj.	loc.	TAM ptcl.	aux.	n.	n. cl.	adv.	vi.	conj.	vi.,3.2,,"Dibaya kälepalle danyroene, angde dowae mäse däga, ddia da dam dindugän a dägabällän. ",	+fr. var. of												
we-sn011-kurupel2007-3-3,"Ako ngäna kame danyroe, ddia de llɨg ekaekong adawede oba ddone bindugän, ede llɨg ekawalle ddia de ngäna manglle däga.",ako	ngäna	kame	d-a-nyäroe	ddia=de	llɨg	eka~eka=ong	adawede	oba	ddone	b-indug-än	ede	llɨg	eka=walle	ddia=de	ngäna	manglle	d-ä-ga,again	1SG.NOM	again	REM-RT_EXT-creep	deer=ACC	boy	speakspeak=ATR	so_that	3NSG.POSS	NEG	FUT.3S-run-REM.3SGS	so	child	sound=INS	deer=ACC	1SG.NOM	lure	REM-3NDUP-AUX,"Again I crept, I did a deer whistle so that the deer would not run away, I trapped the deer with the deer whistle.",adv.	pron.	adv.	vi.	n.	n. cl.	n.	nom.	cl.	adv.	pers. pron.	neg. ptcl.	vi.	conj.	kin.	n.	n. cl.	n.	n. cl.	pron.	v.	aux.,we-sn011-kurupel2007,3,3,kit,					de-acc													de-acc			,,ako	ngäna	kame	d-a-nyäroe	ddia=de	llɨg	ekaeka=ang	adawede	oba	ddone	b-dindu-än	ede	llɨg	eka=alle	ddia=de	ngäna	manglle	d-ä-g,,"Again I crept, I did a deer whistle so that the deer would not run away, I trapped the deer with the deer whistle.",again	1.sg.nom	again	creep.rem.1|2sgS	deer		boy	make_noise=atr		so that	3NSG.POSS	not	run.fut.3sgS	so	child	sound-INS		deer		1.sg.nom	lure	aux.rem.1|2sgA>3sgP,,f5eeb1aa-0833-45cc-9415-f2054c913524,	1	2	1							1						1			1		1,,,adv.	pers. pron.	adv.	v.:TM + Patient-v.:Patient-vi.  (V)	n.	n. cl.	n.	covi. & covt.covi. & covt.	cl.	subr.	pers. pron.	neg. ptcl.	v.:TM + Patient-vi.  (irr)-v.:TAM+Agent	subr.	kin.	n.	n. cl.	n.	n. cl.	pers. pron.	covt.	v.:TM + Patient-v.:Patient-aux.,adv.	pron.	adv.	vi.	n.	n. cl.	n.	nom.	cl.	adv.	pers. pron.	neg. ptcl.	vi.	conj.	kin.	n.	n. cl.	n.	n. cl.	pron.	v.	aux.,3.3,,"Ako ngäna kame danyroe, ddia de llɨg ekaekong adawede oba ddone bindugän, ede llɨg ekawalle ddia de ngäna manglle däga. ",
we-sn011-kurupel2007-3-4,"Dibaballe kame danyroe, angde dowae däga dam ngäna ddia de dazu pakos ulle walle, ada däga enanae ddäg kutt deyanttäkeg, dädme pintta arle gognän, ngäna dam wap alle ada däga tumku däsän kuddäll e.",dibaballe	kame	d-a-nyäroe	angde	dowae	d-ä-ga	dam	ngäna	ddia=de	d-a-zu	pakos	ulle=walle	ada	d-ä-ga	enanae	ddäg	kutt	d-ey-a-nttäke-g	däd=me	pintta	arle	g-o-g-n-än	ngäna	dam	wap=alle	ada	d-ä-ga	tumku	d-ä-s-än	kuddäll=e,afterwards	again	REM-RT_EXT-creep	when	proximity	REM-3NDUP-AUX	then	1SG.NOM	deer=ACC	REM-RT_EXT-shoot	spear_type	long=INS	like_this	REM-3NDUP-AUX	straight	back	bone	REM-DUP-RT_EXT-break-III.NPL	there=LOC	bird_type	scream	REM-RT_EXT-AUX-IPFV-REM.3SGS	1SG.NOM	then	stick=INS	like_this	REM-3NDUP-AUX	back_of_head	REM-3NDUP-extinguish-REM.3SGA	death=ALL,"Afterwards, I crept again. When I got close, then I shot the deer with a long arrow. I hit him straight in the back bone and broke it. He let out a scream. I then hit him with a stick in the back to death.",adv.	adv.	vi.	conj.	loc.	aux.	adv.	pron.	n.	n. cl.	vt.	n.	adj.	n. cl.	adv.	aux.	adv.	n.	n.	vt.	adv. dem.	n. cl.	n.	n.	aux.	pron.	adv.	n.	n. cl.	adv.	aux.	n.	vt.	n.	n. cl.,we-sn011-kurupel2007,3,4,kit,									de-acc				walle-ins															alle-ins						e-all,,dibaballe	kame	d-a-nyäroe	angde	dowae	d-ä-g	dam	ngäna	ddia=de	d-a-zuwoe	pakos	ulle=alle	ada	d-ä-g	enanae	ddäg	kutt	d-y-a-ttängkag-ngg	däd=me	pintta	arle	g-o-g-ne-än	ngäna	dam	wap=alle	ada	d-ä-g	tumku	d-ä-sɨs-än	kuddäll=e,,"Afterwards, I crept again. When I got close, then I shot the deer with a long arrow. I hit him straight in the back bone and broke it. He let out a scream. I then hit him with a stick in the back to death.",afterwards	again	creep.rem.1|2sgS	when	proximity	aux.rem.1|2sgA>3sgP	then	1.sg.nom	deer		shoot.rem.1|2sgA>sgP	arrow	long		like this	aux.rem.1|2sgA>3sgP	straight	back	bone	break.rem.1|2sgA>duP	there=loc		bird type	scream	aux.rem.npfv.3sgS	1.sg.nom	then	stick		like this	aux.rem.1|2sgA>3sgP	back	extinguish.rem.3sgA>3sgP	death	,,a8f37a29-4fe7-40e0-8a4c-12baffe8b204,	2	1			1		1			1			1		1				12						1			1		1		12		1,,,adv. dem.	adv.	v.:TM + Patient-v.:Patient-vi.  (V)	adv.	loc.	v.:TM + Patient-v.:Patient-aux.	adv.	pers. pron.	n.	n. cl.	v.:TM + Patient-v.:Patient-vt.  (V)	n.	mod.	n. cl.	m. dem	v.:TM + Patient-v.:Patient-aux.	adv.	n.	n.	v.:TM + Patient-v.:Any-v.:Patient-vt.  (III)-v.:Any	dem.	n. cl.	n.	n.	v.:TM + Patient-vi.:Any-aux.-v.:(Aspect)-v.:TAM+Agent	pers. pron.	adv.	n.	n. cl.	m. dem	v.:TM + Patient-v.:Patient-aux.	n.	v.:TM + Patient-v.:Patient-vt.  (I)-vt.:Any	n.	n. cl.,adv.	adv.	vi.	conj.	loc.	aux.	adv.	pron.	n.	n. cl.	vt.	n.	adj.	n. cl.	adv.	aux.	adv.	n.	n.	vt.	adv. dem.	n. cl.	n.	n.	aux.	pron.	adv.	n.	n. cl.	adv.	aux.	n.	vt.	n.	n. cl.,3.4,,"Dibaballe kame danyroe, angde dowae däga dam ngäna ddia de dazu pakos ulle walle, ada däga enanae ddäg kutt deyanttäkeg, dädme pintta arle gognän, ngäna dam wap alle ada däga tumku däsän kuddäll e.",
we-sn011-kurupel2007-4-1,"Diba täräp me ngäna ngonongg de danges Adilla God bom eso eka däga mit adawatta bogo ngänäm dangminggän, ge ngäna ewe de dawes ikopse alle.",diba	täräp=me	ngäna	ngonongg=de	d-a-nges	Adilla	Godd=bom	eso	eka	d-ä-ga	mit	adawatta	bogo	ngänäm	d-a-ngmingg-än	ge	ngäna	e=we=de	d-a-wes	ikopse=alle,that	time=LOC	1SG.NOM	think=ACC	REM-RT_EXT-make	Godman	God=3SG.ACC	thank_you	speak	REM-3NDUP-AUX	reason	because	3SG.NOM	1SG.ACC	REM-RT_EXT-help-REM.3SGA	prox.dem	1SG.NOM	which=ALL=ACC	REM-RT_EXT-beg	prayer=INS,"At that moment, I made a thought and thanked God because he helped me. This is what I had asked for in prayer.",definite article	n.	n. cl.	pron.	v.	n. cl.	vt.	pn.	pn.	pron. cl.	interj.	v.	aux.	n.	conj.	pron.	pron.	vt.	nom. dem.	pron.	pron.	n. cl.	n. cl.	vt.	n.	n. cl.,we-sn011-kurupel2007,4,1,kit,		me-loc			de-acc				bom-3sg-acc													de-acc			alle-ins,,diba	täräp=me	ngäna	ngonongg=de	d-a-ngasnges	Adilla	Godd=bom	eso	eka	d-ä-g	mit	adawatta	bogo	ngänäm	d-a-ngämingg-än	ge	ngäna	e=e=de	d-a-waswes	ikopse=alle,,"At that moment, I made a thought and thanked God because he helped me. This is what I had asked for in prayer.",that	time		1.sg.nom	think		make.rem.1|2sgA>sgP	God	God		thank you	speak	aux.rem.1|2sgA>3sgP	reason	because	3.sg.nom	1.sg.acc	help.rem.3sgA>1sgP	this	1.sg.nom	what			beg.rem.1|2sgA>sgP	prayer	,,faa40e72-09a1-4b24-bef0-ca022064adab,	1		1			1						1					1		1	2	1		1		1,,,nom. dem.	n.	n. cl.	pers. pron.	vi.  (III)	n. cl.	v.:TM + Patient-v.:Patient-vt.  (I)	pn.n.	pn.	pron. cl.	interj.	covi. & covt.	v.:TM + Patient-v.:Patient-aux.	n.	subr.	pers. pron.	pers. pron.	v.:TM + Patient-v.:Patient-vi.  (III)-vt.:Any	nom. dem.	pers. pron.	rel. pron.	n. cl.	n. cl.	v.:TM + Patient-v.:Patient-vt.  (I)	n.	n. cl.,definite article	n.	n. cl.	pron.	v.	n. cl.	vt.	pn.	pn.	pron. cl.	interj.	v.	aux.	n.	conj.	pron.	pron.	vt.	nom. dem.	pron.	pron.	n. cl.	n. cl.	vt.	n.	n. cl.,4.1,,"Diba täräp me ngäna ngonongg de danges Adilla God bom eso eka däga mit adawatta bogo ngänäm dangminggän, ge ngäna ewe de dawes ikopse alle. ",
